PM2.5,PM10,NO2,NOx,NH3,CO,SO2,Toluene,AQI_lag1,AQI_lag2,AQI_lag24,hour,month,day,quarter,season,hour_sin,hour_cos,month_sin,month_cos,PM_ratio,pollution_load,NO_proxy,aqi
160.0,198.0,29.7,29.7,0.0,15.2,6.9,0.0,198.0,198.0,198.0,21.0,5.0,2.0,2.0,1.0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,-0.8660254037844387,0.8080807672686481,402.9,29.7,202.5028594181627
160.0,198.0,29.7,29.7,0.0,15.2,6.9,0.0,198.0,198.0,198.0,21.0,5.0,2.0,2.0,1.0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,-0.8660254037844387,0.8080807672686481,402.9,29.7,202.5028594181627
155.0,124.0,30.6,30.6,0.0,0.1,9.3,0.0,155.0,155.0,155.0,21.0,5.0,2.0,2.0,1.0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,-0.8660254037844387,1.2499998991935566,309.70000000000005,30.6,156.40706310141016
160.0,198.0,29.7,29.7,0.0,15.2,6.9,0.0,198.0,198.0,198.0,21.0,5.0,2.0,2.0,1.0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,-0.8660254037844387,0.8080807672686481,402.9,29.7,202.5028594181627
160.0,198.0,29.7,29.7,0.0,15.2,6.9,0.0,198.0,198.0,198.0,21.0,5.0,2.0,2.0,1.0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,-0.8660254037844387,0.8080807672686481,402.9,29.7,202.5028594181627
160.0,198.0,29.7,29.7,0.0,15.2,6.9,0.0,198.0,198.0,198.0,21.0,5.0,2.0,2.0,1.0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,-0.8660254037844387,0.8080807672686481,402.9,29.7,202.5028594181627
160.0,198.0,29.7,29.7,0.0,15.2,6.9,0.0,198.0,198.0,198.0,21.0,5.0,2.0,2.0,1.0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,-0.8660254037844387,0.8080807672686481,402.9,29.7,202.5028594181627
160.0,198.0,29.7,29.7,0.0,15.2,6.9,0.0,198.0,198.0,198.0,21.0,5.0,2.0,2.0,1.0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,-0.8660254037844387,0.8080807672686481,402.9,29.7,202.5028594181627
160.0,198.0,29.7,29.7,0.0,15.2,6.9,0.0,198.0,198.0,198.0,21.0,5.0,2.0,2.0,1.0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,-0.8660254037844387,0.8080807672686481,402.9,29.7,202.5028594181627
160.0,198.0,29.7,29.7,0.0,15.2,6.9,0.0,198.0,198.0,198.0,21.0,5.0,2.0,2.0,1.0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,-0.8660254037844387,0.8080807672686481,402.9,29.7,202.5028594181627
160.0,198.0,29.7,29.7,0.0,15.2,6.9,0.0,198.0,198.0,198.0,21.0,5.0,2.0,2.0,1.0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,-0.8660254037844387,0.8080807672686481,402.9,29.7,202.5028594181627
